name,short_name,gender,birth_date,country_code,discipline,function,event
MWAPE Bruce,MWAPE B,Male,1959-10-26,ZAM,Football,Head Coach,Women
NAIDOO Taren,NAIDOO T,Female,1987-12-21,RSA,Hockey,Coach,Women
NAKADA Kumi,NAKADA K,Female,1965-09-03,JPN,Volleyball,Head Coach,Women
NAKAGAICHI Yuichi,NAKAGAICHI Y,Male,1967-11-02,JPN,Volleyball,Head Coach,Men
NOTOANE David,NOTOANE D,Male,1969-02-07,RSA,Football,Head Coach,Men
OCA GAIA Miguel Angel,OCA GAIA M,Male,1970-04-15,ESP,Water Polo,Head Coach,Women
OLOO Felix,OLOO F,Male,1984-11-11,KEN,Rugby Sevens,Head Coach,Women
OMOTO Yoji,OMOTO Y,Male,1967-06-26,JPN,Water Polo,Head Coach,Men
PALERMI Giovanna,PALERMI G,Female,1964-01-15,ITA,Baseball/Softball,Coach,Softball
PARADELO David,PARADELO D,Male,1985-10-07,CAN,Water Polo,Head Coach,Women
PARRONDO Roberto,PARRONDO R,Male,1980-01-12,EGY,Handball,Coach,Men
PAUL Henry,PAUL H,Male,1974-02-10,CAN,Rugby Sevens,Head Coach,Men
PEDRERO Ofelia,PEDRERO O,Female,1988-03-28,MEX,Artistic Swimming,Coach,Duet
PEREIRA Paulo Jorge,PEREIRA PJ,Male,1965-03-21,POR,Handball,Coach,Men
PISKAREVA Ekaterina,PISKAREVA E,Female,1971-02-26,ROC,Artistic Swimming,Coach,Team
PIZZOLINI Federico,PIZZOLINI F,Male,1964-05-09,ITA,Baseball/Softball,Head Coach,Softball
POPOVIC Bojana,POPOVIC B,Female,1979-11-20,MNE,Handball,Coach,Women
POPOVICH Gregg,POPOVICH G,Male,1949-01-28,USA,Basketball,Coach,Men
POROBIC Petar,POROBIC P,Male,1957-05-28,CHN,Water Polo,Head Coach,Women
POTTER Anthony,POTTER A,Male,1972-05-11,AUS,Hockey,Coach,Men
POWELL Katrina,POWELL K,Female,1972-04-08,AUS,Hockey,Head Coach,Women
POWELL Neil,POWELL N,Male,1978-06-28,RSA,Rugby Sevens,Head Coach,Men
PRIESTMAN Bev,PRIESTMAN B,Female,1986-04-29,CAN,Football,Head Coach,Women
RADOI Mirel,RADOI M,Male,1981-03-22,ROU,Football,Head Coach,Men
RECKINGER Xavier,RECKINGER X,Male,1983-12-20,GER,Hockey,Head Coach,Women
REID Graham John,REID GJ,Male,1964-04-09,IND,Hockey,Head Coach,Men
REQUENA PERICAS Judit,REQUENA PERICAS J,Female,1992-11-26,ESP,Artistic Swimming,Coach,Team
RETEGUI Carlos Jose,RETEGUI CJ,Male,1969-12-19,ARG,Hockey,Head Coach,Men
RETEGUI Carlos Jose,RETEGUI CJ,Male,1969-12-19,ARG,Hockey,Head Coach,Women
RIBERA ROMANS Jordi,RIBERA ROMANS J,Male,1963-03-05,ESP,Handball,Coach,Men
RIISE Hege,RIISE H,Female,1969-07-18,GBR,Football,Head Coach,Women
RIPOLL Sylvain,RIPOLL S,Male,1971-08-15,FRA,Football,Head Coach,Men
ROEDL Henrik,ROEDL H,Male,1969-03-04,GER,Basketball,Coach,Men
ROQUES Tony,ROQUES T,Male,1978-09-07,GBR,Rugby Sevens,Head Coach,Men
SACCHETTI Meo,SACCHETTI M,Male,1953-08-20,ITA,Basketball,Coach,Men
SAMMELVUO Tuomas,SAMMELVUO T,Male,1976-02-16,ROC,Volleyball,Head Coach,Men
SARTI Ronald,SARTI R,Male,1971-10-19,VEN,Volleyball,Head Coach,Men
SAVIC Dejan,SAVIC D,Male,1975-04-24,SRB,Water Polo,Head Coach,Men
SCARIOLO Sergio,SCARIOLO S,Male,1961-04-01,ESP,Basketball,Coach,Men
SEKULIC Aleksander,SEKULIC A,Male,1978-02-24,SLO,Basketball,Coach,Men
SEO Chun Oh,SEO CO,Male,1967-08-03,KOR,Rugby Sevens,Head Coach,Men
SERMANNI Tom,SERMANNI T,Male,1954-07-01,NZL,Football,Head Coach,Women
SHAHINTAB Mehran,SHAHINTAB M,Male,1966-03-21,IRI,Basketball,Coach,Men
SHAW Graham,SHAW G,Male,1978-10-17,NZL,Hockey,Head Coach,Women
SHAWKY Gharib,SHAWKY G,Male,1959-02-26,EGY,Football,Head Coach,Men
SHIMIZU Masaji,SHIMIZU M,Male,1964-07-07,JPN,Baseball/Softball,Coach,Baseball
SIGURDSSON Dagur,SIGURDSSON D,Male,1973-04-03,JPN,Handball,Coach,Men
SILVA Jose,SILVA J,Male,1973-12-19,MEX,Baseball/Softball,Coach,Baseball
SIMIYU Innocent,SIMIYU I,Male,1983-04-24,KEN,Rugby Sevens,Head Coach,Men
SINGH Shivendra,SINGH S,Male,1983-06-09,IND,Hockey,Coach,Men
SMITH Darren,SMITH D,Male,1973-11-14,NZL,Hockey,Head Coach,Men
SMITH Mark,SMITH M,Male,1959-06-27,CAN,Baseball/Softball,Head Coach,Softball
SOLBERG Glenn,SOLBERG G,Male,1972-02-18,SWE,Handball,Coach,Men
SOYEZ Frederic,SOYEZ F,Male,1978-02-11,ESP,Hockey,Head Coach,Men
SPERAW John,SPERAW J,Male,1971-10-18,USA,Volleyball,Head Coach,Men
SPERONI Stefania,SPERONI S,Female,1980-01-12,GBR,Artistic Swimming,Coach,Duet
STALEY Dawn Michelle,STALEY D,Female,1970-05-04,USA,Basketball,Coach,Women
SUNDHAGE Pia Mariane,SUNDHAGE P,Female,1960-02-13,BRA,Football,Head Coach,Women
SVETLICHNAYA Aliona,SVETLICHNAYA A,Female,1981-12-18,BLR,Artistic Swimming,Coach,Duet
SZAUDER Gabor,SZAUDER G,Male,1972-02-10,CAN,Artistic Swimming,Coach,Duet
SZAUDER Gabor,SZAUDER G,Male,1972-02-10,CAN,Artistic Swimming,Coach,Team
TAKAKURA Asako,TAKAKURA A,Female,1968-04-19,JPN,Football,Head Coach,Women
TAKITA Risako,TAKITA R,Female,1972-10-30,JPN,Artistic Swimming,Coach,Duet
TAKITA Risako,TAKITA R,Female,1972-10-30,JPN,Artistic Swimming,Coach,Team
TARR Heather,TARR H,Female,1974-10-05,USA,Baseball/Softball,Coach,Softball
TATEYAMA Yoshinori,TATEYAMA Y,Male,1975-12-26,JPN,Baseball/Softball,Coach,Baseball
TERZIC Zoran,TERZIC Z,Male,1966-07-09,SRB,Volleyball,Head Coach,Women
THOMAIDIS Lisa,THOMAIDIS L,Female,1971-07-23,CAN,Basketball,Coach,Women
TILLIE Laurent,TILLIE L,Male,1963-12-01,FRA,Volleyball,Head Coach,Men
TUCAK Ivica,TUCAK I,Male,1970-02-08,CRO,Water Polo,Head Coach,Men
TURNER Glenn,TURNER G,Male,1984-05-01,NZL,Hockey,Coach,Men
UDOVICIC Dejan,UDOVICIC D,Male,1970-07-26,USA,Water Polo,Head Coach,Men
UTSUGI Reika,UTSUGI R,Female,1963-06-01,JPN,Baseball/Softball,Head Coach,Softball
van GINKEL Robin,van GINKEL R,Male,1982-04-30,RSA,Hockey,Head Coach,Women
VIVER ARZA Carlos Enrique,VIVER ARZA CE,Male,1973-04-24,ESP,Handball,Coach,Women
VLACHOS Theodoros,VLACHOS T,Male,1969-07-09,GRE,Water Polo,Head Coach,Men
VOLOSHYNA Anna,VOLOSHYNA A,Female,1991-09-26,USA,Artistic Swimming,Coach,Duet
VORONOVA Elena,VORONOVA E,Female,1991-03-22,ROC,Artistic Swimming,Coach,Duet
WALLACE Dave,WALLACE D,Male,1946-09-07,USA,Baseball/Softball,Coach,Baseball
WALSH Tim,WALSH T,Male,1979-04-10,AUS,Rugby Sevens,Head Coach,Men
WANG Jie,WANG J,Female,1961-11-18,CHN,Artistic Swimming,Coach,Duet
WANG Jie,WANG J,Female,1961-11-18,CHN,Artistic Swimming,Coach,Team
WANG Yang,WANG Y,Male,1968-09-08,CHN,Hockey,Head Coach,Women
WIEGMAN Sarina,WIEGMAN S,Female,1969-10-26,NED,Football,Head Coach,Women
XU Limin,XU L,Male,1966-05-01,CHN,Basketball,Coach,Women
YAMAJI Noriko,YAMAJI N,Female,1970-09-17,JPN,Baseball/Softball,Coach,Softball
YOUNG Ernie,YOUNG E,Male,1969-07-08,USA,Baseball/Softball,Coach,Baseball
ZAITSEVA Olesia,ZAITSEVA O,Female,1974-11-08,UKR,Artistic Swimming,Coach,Duet
ZAMPIERI Francesca,ZAMPIERI F,Female,1981-12-22,LIE,Artistic Swimming,Coach,Duet
ZONDI Nkuliso,ZONDI N,Male,1989-03-02,RSA,Hockey,Coach,Women
