name,short_name,gender,birth_date,country,discipline,function
WANG Xinzhai,WANG X,Male,1973-07-21,People's Republic of China,Diving,Judge
WANG Xinzhai,WANG X,Male,1973-07-21,People's Republic of China,Water Polo,Judge
WANGLER Marcelo,WANGLER M,Male,1960-01-15,Brazil,Beach Volleyball,Referee
WATANABE Akiko,WATANABE A,Female,1978-01-14,Japan,Volleyball,Referee
WATANABE Chie,WATANABE C,Female,1993-09-17,Japan,Volleyball,Referee
WATANABE Haruka,WATANABE H,Female,1987-07-16,Japan,Wrestling,Judge
WATANABE Nahoko,WATANABE N,Female,1978-05-25,Japan,Volleyball,Referee
WATANABE Takashi,WATANABE T,Male,1983-08-21,Japan,Judo,Judge
WATANABE Tatsuya,WATANABE T,Male,1988-11-09,Japan,Handball,Referee
WATANABE Yokichi,WATANABE Y,Male,1964-07-15,Japan,Wrestling,Judge
WENGENROTH MARTINELLI Ursula,WENGENROTH MARTINE,Female,1964-11-12,Switzerland,Water Polo,Referee
WEST John,WEST J,Male,1962-06-06,New Zealand,Diving,Judge
WEST John,WEST J,Male,1962-06-06,New Zealand,Water Polo,Judge
WETTERWIK Mattias,WETTERWIK M,Male,1983-08-06,Sweden,Handball,Referee
WEYESA Bamlaku Tessema,WEYESA B,Male,1980-12-30,Ethiopia,Football,Referee
WILLIS Dion,WILLIS D,Male,1967-10-25,South Africa,Water Polo,Referee
WILSON Sarah,WILSON S,Female,1988-08-16,Great Britain,Hockey,Umpire
WRIGHT Lisa,WRIGHT L,Female,1986-12-19,New Zealand,Diving,Judge
WRIGHT Peter,WRIGHT P,Male,1973-10-28,South Africa,Hockey,Umpire
WU Yu Ting,WU YT,Female,1994-05-19,Chinese Taipei,Taekwondo,Referee
WUEST Katrina,WUEST K,Female,1950-08-27,Germany,Equestrian,Jury President
YADA Yoshiaki,YADA Y,Male,1985-04-26,Japan,Beach Volleyball,Referee
YAHAGI Takanori,YAHAGI T,Male,1964-08-16,Japan,Diving,Judge
YAHIA CHERIF Mohammed,YAHIA CHERIF M,Male,1956-10-24,Algeria,Diving,Judge
YAHIA CHERIF Mohammed,YAHIA CHERIF M,Male,1956-10-24,Algeria,Water Polo,Judge
YAMADA Emi,YAMADA E,Female,1980-01-08,Japan,Hockey,Umpire
YAMAGISHI Yuji,YAMAGISHI Y,Male,1972-04-06,Japan,Judo,Judge
YAMAGUCHI Shigeo,YAMAGUCHI S,Male,1978-09-28,Japan,Handball,Referee
YAMAMOTO Masayasu,YAMAMOTO M,Male,1986-11-08,Japan,Beach Volleyball,Referee
YAMASAKI Kimihiro,YAMASAKI K,Male,1977-02-18,Japan,Beach Volleyball,Referee
YAMASHITA Akira,YAMASHITA A,Male,1981-09-21,Japan,Volleyball,Referee
YAMASHITA Tomonori,YAMASHITA T,Male,1968-12-26,Japan,Handball,Referee
YAMASHITA Yoshimi,YAMASHITA Y,Female,1986-02-20,Japan,Football,Referee
YANAGI Kazuhiro,YANAGI K,Male,1976-08-07,Japan,Taekwondo,Referee
YANO Hiroyuki,YANO H,Male,1969-11-22,Japan,Volleyball,Referee
YARKONI Idan,YARKONI I,Male,1982-10-28,Israel,Football,Assistant Referee
YASUDA Yuji,YASUDA Y,Male,1976-08-16,Japan,Volleyball,Referee
YILMAZ Mehmet,YILMAZ M,Male,1967-03-01,Turkey,Judo,Judge
YOKOSUKA Takayuki,YOKOSUKA T,Male,1984-02-22,Japan,Volleyball,Referee
YOSHIDA Masumi,YOSHIDA M,Male,1978-01-20,Japan,Volleyball,Referee
YOSHIDA Toshio,YOSHIDA T,Male,1970-09-21,Japan,Judo,Judge
YOSHIDA Yudai,YOSHIDA Y,Male,1986-04-11,Japan,Handball,Referee
YOSHIMOTO Osamu,YOSHIMOTO O,Male,1970-01-16,Japan,Wrestling,Judge
YOSHIOKA Nana,YOSHIOKA N,Female,1997-07-23,Japan,Volleyball,Referee
YOSHITANI Yusuke,YOSHITANI Y,Male,1982-06-18,Japan,Beach Volleyball,Referee
YOUNES Walid,YOUNES W,Male,1966-07-20,Switzerland,Taekwondo,Referee
YUAN Haoran,YUAN H,Male,1973-05-02,People's Republic of China,Diving,Judge
YUAN Haoran,YUAN H,Male,1973-05-02,People's Republic of China,Water Polo,Judge
YUCEL Mehmet Gurhan,YUCEL MG,Male,1982-06-22,Turkey,Wrestling,Judge
ZAHONYI Tamas,ZAHONYI T,Male,1978-05-29,Hungary,Judo,Judge
ZALESKI Carol,ZALESKI C,Female,1938-08-23,United States of America,Diving,Judge
ZALESKI Carol,ZALESKI C,Female,1938-08-23,United States of America,Water Polo,Judge
ZAMPIERI Marco,ZAMPIERI M,Male,1974-02-08,Italy,Diving,Judge
ZEEGELAAR Zachari,ZEEGELAAR Z,Male,1989-10-03,Suriname,Football,Assistant Referee
ZHANG Guo,ZHANG G,Male,1977-03-05,People's Republic of China,Boxing,Judge
ZHANG Liang,ZHANG L,Male,1984-08-05,People's Republic of China,Water Polo,Referee
ZHAO Qi,ZHAO Q,Male,1974-05-01,People's Republic of China,Diving,Judge
ZHOU Jihong,ZHOU J.,Female,1965-01-11,People's Republic of China,Diving,Judge
ZHU Linfang,ZHU L,Female,1982-09-25,People's Republic of China,Taekwondo,Referee
ZINGER Edward,ZINGER E,Male,1969-07-21,Canada,Wrestling,Judge
ZOURAK Adil,ZOURAK A,Male,1978-08-25,Morocco,Football,Video Assistant Referee (VAR)
ZWART Michiel,ZWART M,Male,1986-11-08,Netherlands,Water Polo,Referee
ZWI Noam,ZWI N,Male,1958-04-20,Israel,Diving,Judge
ZWI Noam,ZWI N,Male,1958-04-20,Israel,Water Polo,Judge
