name,short_name,gender,birth_date,country,discipline,function
RACZKOWSKI Pawel,RACZKOWSKI P,Male,1983-05-10,Poland,Football,Video Assistant Referee (VAR)
RAFALSKI Katrin,RAFALSKI K,Female,1982-02-04,Germany,Football,Assistant Referee
RAILEANU Stefan,RAILEANU S,Male,1989-05-16,Republic of Moldova,Taekwondo,Referee
RAK Mladen,RAK M,Male,1967-03-20,Croatia,Water Polo,Video Assistant Referee
RAKHLIN Evgeny,RAKHLIN E,Male,1975-02-04,Russian Federation,Judo,Judge
RALUY LOPEZ Oscar,RALUY LOPEZ O,Male,1976-08-03,Spain,Handball,Referee
RAMAEKERS Jhon,RAMAEKERS J,Male,1974-03-28,Netherlands,Judo,Judge
RAMOS Armando,RAMOS A,Male,1974-08-07,Mexico,Basketball,Jury Member
RANGELOVA Eleonora,RANGELOVA E,Female,1968-05-18,Bulgaria,Basketball,Jury Member
RAO Lang,RAO L,Female,1976-11-28,People's Republic of China,Diving,Judge
RAPISARDA Daniele,RAPISARDA D,Male,1968-05-06,Italy,Volleyball,Referee
RATAJOVA Lucie,RATAJOVA L,Female,1979-12-02,Czech Republic,Football,Assistant Referee
RAZNATOVIC Milos,RAZNATOVIC M,Male,1980-07-21,Montenegro,Handball,Referee
REICH Gerd,REICH G,Male,1973-11-08,Germany,Wrestling,Judge
REINER Karl Heinz,REINER KH,Male,1972-08-21,Austria,Wrestling,Judge
REINSHREIBER Roi,REINSHREIBER R,Male,1980-06-28,Israel,Football,Video Assistant Referee (VAR)
REIS Violeta,REIS V,Female,1978-03-11,Brazil,Diving,Judge
RELJIN Jelena,RELJIN J,Female,1961-01-02,Serbia,Volleyball,Referee
REMIREZ RUIZ Paula,REMIREZ RUIZ P,Female,1983-03-30,Spain,Taekwondo,Referee
RENEV Yaroslav,RENEV Y,Male,1966-06-19,Russian Federation,Boxing,Referee
REWAY Wagner,REWAY W,Male,1981-05-14,Brazil,Football,Video Assistant Referee (VAR)
RIEXINGER Gotthilf,RIEXINGER G,Male,1947-08-13,Germany,Equestrian,Jury Member
RIGAMONTI Alberto,RIGAMONTI A,Male,1965-08-13,Italy,Beach Volleyball,Referee
RIGAMONTI Alberto,RIGAMONTI A,Male,1965-08-13,Italy,Volleyball,Referee
RIMKUS Tomas,RIMKUS T,Male,1973-02-01,Lithuania,Basketball,Jury Member
RINGMARK Magnus,RINGMARK M,Male,1963-09-26,Sweden,Equestrian,Jury Member
RIVET Maria,RIVET M,Female,1984-04-20,Mauritius,Football,Referee
ROCHA CHAVEZ Sergio,ROCHA CHAVEZ S,Male,1964-12-08,Mexico,Diving,Judge
RODAK Sanja,RODAK S,Female,1983-12-16,Croatia,Football,Assistant Referee
RODRIGUES Luis Alexandre,RODRIGUES LA,Male,1965-05-23,Portugal,Beach Volleyball,Referee
RODRIGUES Luis Alexandre,RODRIGUES LA,Male,1965-05-23,Brazil,Volleyball,Referee
RODRIGUEZ ALVAREZ Jose,RODRIGUEZ ALVAREZ,Male,1984-04-01,Mexico,Equestrian,Jury Member
RODRIGUEZ AMADEO Angelique M.,RODRIGUEZ AMADEO A,Female,1975-08-26,United States of America,Diving,Judge
RODRIGUEZ Jose,RODRIGUEZ J,Male,1949-07-26,United States of America,Judo,Judge
RODRIGUEZ Susana,RODRIGUEZ S,Female,1974-10-19,Spain,Volleyball,Referee
ROLF Pati,ROLF P,Female,1963-04-23,United States of America,Volleyball,Referee
ROSSIER Yves,ROSSIER Yves,Male,1958-11-26,Canada,Equestrian,Technical Delegate
ROSTRON Annelize,ROSTRON A,Female,1984-10-17,South Africa,Hockey,Umpire
