name,short_name,gender,birth_date,country,country_code,discipline,discipline_code
TORTU Filippo,TORTU F,Male,1998-06-15,Italy,ITA,Athletics,ATH
TORUNARIGHA Jordan,TORUNARIGHA J,Male,1997-08-07,Germany,GER,Football,FBL
TOSI Marcelo,TOSI M,Male,1969-08-14,Brazil,BRA,Equestrian,EQU
TOT Vanesa,TOT V,Female,1999-07-12,Croatia,CRO,Canoe Sprint,CSP
TOTH Celina,TOTH C,Female,1992-03-20,Canada,CAN,Diving,DIV
TOTH Krisztian,TOTH K,Male,1994-05-01,Hungary,HUN,Judo,JUD
TOTH Lili Anna,TOTH LA,Female,1998-09-17,Hungary,HUN,Athletics,ATH
TOTH Matej,TOTH M,Male,1983-02-10,Slovakia,SVK,Athletics,ATH
TOTH Tamas,TOTH T,Male,1989-05-29,Hungary,HUN,Triathlon,TRI
TOTKA Sandor,TOTKA S,Male,1994-07-27,Hungary,HUN,Canoe Sprint,CSP
TOUA Loa Dika,TOUA LD,Female,1984-06-23,Papua New Guinea,PNG,Weightlifting,WLF
TOUATI Assia,TOUATI A,Female,1995-04-23,France,FRA,Swimming,SWM
TOUATI Mohamed,TOUATI M,Male,1998-09-09,Tunisia,TUN,Athletics,ATH
TOULSON Lois,TOULSON L,Female,1999-09-26,Great Britain,GBR,Diving,DIV
TOUMARKIN Yakov,TOUMARKIN Y,Male,1992-02-15,Israel,ISR,Swimming,SWM
TOURE Mamignan,TOURE M,Female,1994-12-19,France,FRA,3x3 Basketball,BK3
TOURE Mariama,TOURE M,Female,2003-11-10,Guinea,GUI,Swimming,SWM
TOURNAT Nicolas,TOURNAT N,Male,1994-04-05,France,FRA,Handball,HBL
TOUSART Lucas,TOUSART L,Male,1997-04-29,France,FRA,Football,FBL
TOUSSAINT Kira,TOUSSAINT K,Female,1994-05-22,Netherlands,NED,Swimming,SWM
TOUZAINT Nicolas,TOUZAINT N,Male,1980-05-10,France,FRA,Equestrian,EQU
TOWNEND Oliver,TOWNEND O,Male,1982-11-15,Great Britain,GBR,Equestrian,EQU
TOWNSEND Susannah,TOWNSEND S,Female,1989-07-28,Great Britain,GBR,Hockey,HOC
TOYCHYYEV Hojamuhammet,TOYCHYYEV H,Male,1992-01-16,Turkmenistan,TKM,Weightlifting,WLF
