medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Silver Medal,2,2021-08-03,KENNY J,KENNY Jason,M,GBR,CTR,Men's Team Sprint,Great Britain,Cycling Track
Silver Medal,2,2021-08-03,OWENS R,OWENS Ryan,M,GBR,CTR,Men's Team Sprint,Great Britain,Cycling Track
Bronze Medal,3,2021-08-03,VIGIER S,VIGIER Sebastien,M,FRA,CTR,Men's Team Sprint,France,Cycling Track
Bronze Medal,3,2021-08-03,HELAL R,HELAL Rayan,M,FRA,CTR,Men's Team Sprint,France,Cycling Track
Bronze Medal,3,2021-08-03,GRENGBO F,GRENGBO Florian,M,FRA,CTR,Men's Team Sprint,France,Cycling Track
Gold Medal,1,2021-08-03,BRENNAUER L,BRENNAUER Lisa,W,GER,CTR,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,2021-08-03,BRAUSSE F,BRAUSSE Franziska,W,GER,CTR,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,2021-08-03,KROEGER M,KROEGER Mieke,W,GER,CTR,Women's Team Pursuit,Germany,Cycling Track
Gold Medal,1,2021-08-03,KLEIN L,KLEIN Lisa,W,GER,CTR,Women's Team Pursuit,Germany,Cycling Track
Silver Medal,2,2021-08-03,ARCHIBALD K,ARCHIBALD Katie,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,2021-08-03,BARKER E,BARKER Elinor,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,2021-08-03,EVANS N,EVANS Neah,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,2021-08-03,KENNY L,KENNY Laura,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Silver Medal,2,2021-08-03,KNIGHT J,KNIGHT Josie,W,GBR,CTR,Women's Team Pursuit,Great Britain,Cycling Track
Bronze Medal,3,2021-08-03,WILLIAMS L,WILLIAMS Lily,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,2021-08-03,DYGERT C,DYGERT Chloe,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,2021-08-03,WHITE E,WHITE Emma,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,2021-08-03,VALENTE J,VALENTE Jennifer,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Bronze Medal,3,2021-08-03,JASTRAB M,JASTRAB Megan,W,USA,CTR,Women's Team Pursuit,United States of America,Cycling Track
Gold Medal,1,2021-08-03,XIE S,XIE Siyi,M,CHN,DIV,Men's 3m Springboard,People's Republic of China,Diving
Silver Medal,2,2021-08-03,WANG Z,WANG Zongyuan,M,CHN,DIV,Men's 3m Springboard,People's Republic of China,Diving
Bronze Medal,3,2021-08-03,LAUGHER J,LAUGHER Jack,M,GBR,DIV,Men's 3m Springboard,Great Britain,Diving
Gold Medal,1,2021-08-03,SCOTT G,SCOTT Giles,M,GBR,SAL,Men's One Person Dinghy (Heavyweight) - Finn,Great Britain,Sailing
Silver Medal,2,2021-08-03,BERECZ Z,BERECZ Zsombor,M,HUN,SAL,Men's One Person Dinghy (Heavyweight) - Finn,Hungary,Sailing
Bronze Medal,3,2021-08-03,CARDONA MENDEZ J,CARDONA MENDEZ Joan,M,ESP,SAL,Men's One Person Dinghy (Heavyweight) - Finn,Spain,Sailing
Gold Medal,1,2021-08-03,BITHELL S,BITHELL Stuart,M,GBR,SAL,Men's Skiff - 49er,Great Britain,Sailing
Gold Medal,1,2021-08-03,FLETCHER D,FLETCHER Dylan,M,GBR,SAL,Men's Skiff - 49er,Great Britain,Sailing
Silver Medal,2,2021-08-03,BURLING P,BURLING Peter,M,NZL,SAL,Men's Skiff - 49er,New Zealand,Sailing
Silver Medal,2,2021-08-03,TUKE B,TUKE Blair,M,NZL,SAL,Men's Skiff - 49er,New Zealand,Sailing
Bronze Medal,3,2021-08-03,HEIL E,HEIL Erik,M,GER,SAL,Men's Skiff - 49er,Germany,Sailing
Bronze Medal,3,2021-08-03,PLOESSEL T,PLOESSEL Thomas,M,GER,SAL,Men's Skiff - 49er,Germany,Sailing
Gold Medal,1,2021-08-03,BANTI C,BANTI Caterina,W,ITA,SAL,Mixed Multihull - Nacra 17 Foiling,Italy,Sailing
Gold Medal,1,2021-08-03,TITA R,TITA Ruggero,W,ITA,SAL,Mixed Multihull - Nacra 17 Foiling,Italy,Sailing
Silver Medal,2,2021-08-03,GIMSON J,GIMSON John,W,GBR,SAL,Mixed Multihull - Nacra 17 Foiling,Great Britain,Sailing
Silver Medal,2,2021-08-03,BURNET A,BURNET Anna,W,GBR,SAL,Mixed Multihull - Nacra 17 Foiling,Great Britain,Sailing
Bronze Medal,3,2021-08-03,STUHLEMMER A,STUHLEMMER Alica,W,GER,SAL,Mixed Multihull - Nacra 17 Foiling,Germany,Sailing
Bronze Medal,3,2021-08-03,KOHLHOFF P,KOHLHOFF Paul,W,GER,SAL,Mixed Multihull - Nacra 17 Foiling,Germany,Sailing
Gold Medal,1,2021-08-03,KUNZE K,KUNZE Kahena,W,BRA,SAL,Women's Skiff - 49er FX,Brazil,Sailing
Gold Medal,1,2021-08-03,GRAEL M,GRAEL Martine,W,BRA,SAL,Women's Skiff - 49er FX,Brazil,Sailing
Silver Medal,2,2021-08-03,BEUCKE S,BEUCKE Susann,W,GER,SAL,Women's Skiff - 49er FX,Germany,Sailing
Silver Medal,2,2021-08-03,LUTZ T,LUTZ Tina,W,GER,SAL,Women's Skiff - 49er FX,Germany,Sailing
Bronze Medal,3,2021-08-03,BEKKERING A,BEKKERING Annemiek,W,NED,SAL,Women's Skiff - 49er FX,Netherlands,Sailing
Bronze Medal,3,2021-08-03,DUETZ A,DUETZ Annette,W,NED,SAL,Women's Skiff - 49er FX,Netherlands,Sailing
Gold Medal,1,2021-08-03,DJURAEV A,DJURAEV Akbar,M,UZB,WLF,Men's 109kg,Uzbekistan,Weightlifting
Silver Medal,2,2021-08-03,MARTIROSYAN S,MARTIROSYAN Simon,M,ARM,WLF,Men's 109kg,Armenia,Weightlifting
Bronze Medal,3,2021-08-03,PLESNIEKS A,PLESNIEKS Arturs,M,LAT,WLF,Men's 109kg,Latvia,Weightlifting
Gold Medal,1,2021-08-03,LORINCZ T,LORINCZ Tamas,M,HUN,WRE,Men's Greco-Roman 77kg,Hungary,Wrestling
Silver Medal,2,2021-08-03,MAKHMUDOV A,MAKHMUDOV Akzhol,M,KGZ,WRE,Men's Greco-Roman 77kg,Kyrgyzstan,Wrestling
Bronze Medal,3,2021-08-03,HUSEYNOV R,HUSEYNOV Rafig,M,AZE,WRE,Men's Greco-Roman 77kg,Azerbaijan,Wrestling
Bronze Medal,3,2021-08-03,YABIKU S,YABIKU Shohei,M,JPN,WRE,Men's Greco-Roman 77kg,Japan,Wrestling
Gold Medal,1,2021-08-03,EVLOEV M,EVLOEV Musa,M,ROC,WRE,Men's Greco-Roman 97kg,ROC,Wrestling
Silver Medal,2,2021-08-03,ALEKSANYAN A,ALEKSANYAN Artur,M,ARM,WRE,Men's Greco-Roman 97kg,Armenia,Wrestling
Bronze Medal,3,2021-08-03,MICHALIK T,MICHALIK Tadeusz,M,POL,WRE,Men's Greco-Roman 97kg,Poland,Wrestling
Bronze Medal,3,2021-08-03,SARAVI M,SARAVI Mohammadhadi,M,IRI,WRE,Men's Greco-Roman 97kg,Islamic Republic of Iran,Wrestling
Gold Medal,1,2021-08-03,MENSAH STOCK TM,MENSAH STOCK Tamyra Mariama,W,USA,WRE,Women's Freestyle 68kg,United States of America,Wrestling
Silver Medal,2,2021-08-03,OBORUDUDU B,OBORUDUDU Blessing,W,NGR,WRE,Women's Freestyle 68kg,Nigeria,Wrestling
Bronze Medal,3,2021-08-03,CHERKASOVA A,CHERKASOVA Alla,W,UKR,WRE,Women's Freestyle 68kg,Ukraine,Wrestling
Bronze Medal,3,2021-08-03,ZHUMANAZAROVA M,ZHUMANAZAROVA Meerim,W,KGZ,WRE,Women's Freestyle 68kg,Kyrgyzstan,Wrestling
Gold Medal,1,2021-08-04,KOLESNICHENKO S,KOLESNICHENKO Svetlana,W,ROC,SWA,Duet,ROC,Artistic Swimming
Gold Medal,1,2021-08-04,ROMASHINA S,ROMASHINA Svetlana,W,ROC,SWA,Duet,ROC,Artistic Swimming
Silver Medal,2,2021-08-04,HUANG X,HUANG Xuechen,W,CHN,SWA,Duet,People's Republic of China,Artistic Swimming
Silver Medal,2,2021-08-04,SUN W,SUN Wenyan,W,CHN,SWA,Duet,People's Republic of China,Artistic Swimming
Bronze Medal,3,2021-08-04,SAVCHUK A,SAVCHUK Anastasiya,W,UKR,SWA,Duet,Ukraine,Artistic Swimming
Bronze Medal,3,2021-08-04,FIEDINA M,FIEDINA Marta,W,UKR,SWA,Duet,Ukraine,Artistic Swimming
Gold Medal,1,2021-08-04,de GRASSE A,de GRASSE Andre,M,CAN,ATH,Men's 200m,Canada,Athletics
Silver Medal,2,2021-08-04,BEDNAREK K,BEDNAREK Kenneth,M,USA,ATH,Men's 200m,United States of America,Athletics
Bronze Medal,3,2021-08-04,LYLES N,LYLES Noah,M,USA,ATH,Men's 200m,United States of America,Athletics
Gold Medal,1,2021-08-04,KORIR EK,KORIR Emmanuel Kipkurui,M,KEN,ATH,Men's 800m,Kenya,Athletics
Silver Medal,2,2021-08-04,ROTICH FC,ROTICH Ferguson Cheruiyot,M,KEN,ATH,Men's 800m,Kenya,Athletics
Bronze Medal,3,2021-08-04,DOBEK P,DOBEK Patryk,M,POL,ATH,Men's 800m,Poland,Athletics
Gold Medal,1,2021-08-04,WARNER D,WARNER Damian,M,CAN,ATH,Men's Decathlon,Canada,Athletics
Silver Medal,2,2021-08-04,MAYER K,MAYER Kevin,M,FRA,ATH,Men's Decathlon,France,Athletics
Bronze Medal,3,2021-08-04,MOLONEY A,MOLONEY Ashley,M,AUS,ATH,Men's Decathlon,Australia,Athletics
Gold Medal,1,2021-08-04,NOWICKI W,NOWICKI Wojciech,M,POL,ATH,Men's Hammer Throw,Poland,Athletics
Silver Medal,2,2021-08-04,HENRIKSEN E,HENRIKSEN Eivind,M,NOR,ATH,Men's Hammer Throw,Norway,Athletics
Bronze Medal,3,2021-08-04,FAJDEK P,FAJDEK Pawel,M,POL,ATH,Men's Hammer Throw,Poland,Athletics
Gold Medal,1,2021-08-04,CHEMUTAI P,CHEMUTAI Peruth,W,UGA,ATH,Women's 3000m Steeplechase,Uganda,Athletics
Silver Medal,2,2021-08-04,FRERICHS C,FRERICHS Courtney,W,USA,ATH,Women's 3000m Steeplechase,United States of America,Athletics
Bronze Medal,3,2021-08-04,KIYENG H,KIYENG Hyvin,W,KEN,ATH,Women's 3000m Steeplechase,Kenya,Athletics
Gold Medal,1,2021-08-04,McLAUGHLIN S,McLAUGHLIN Sydney,W,USA,ATH,Women's 400m Hurdles,United States of America,Athletics
Silver Medal,2,2021-08-04,MUHAMMAD D,MUHAMMAD Dalilah,W,USA,ATH,Women's 400m Hurdles,United States of America,Athletics
Bronze Medal,3,2021-08-04,BOL F,BOL Femke,W,NED,ATH,Women's 400m Hurdles,Netherlands,Athletics
Gold Medal,1,2021-08-04,THIAM N,THIAM Nafissatou,W,BEL,ATH,Women's Heptathlon,Belgium,Athletics
Silver Medal,2,2021-08-04,VETTER A,VETTER Anouk,W,NED,ATH,Women's Heptathlon,Netherlands,Athletics
Bronze Medal,3,2021-08-04,OOSTERWEGEL E,OOSTERWEGEL Emma,W,NED,ATH,Women's Heptathlon,Netherlands,Athletics
Gold Medal,1,2021-08-04,LOPEZ A,LOPEZ Arlen,M,CUB,BOX,Men's Light Heavy (75-81kg),Cuba,Boxing
Silver Medal,2,2021-08-04,WHITTAKER B,WHITTAKER Benjamin,M,GBR,BOX,Men's Light Heavy (75-81kg),Great Britain,Boxing
Bronze Medal,3,2021-08-04,KUNKABAYEV K,KUNKABAYEV Kamshybek,M,KAZ,BOX,Men's Super Heavy (+91kg),Kazakhstan,Boxing
Bronze Medal,3,2021-08-04,CLARKE F,CLARKE Frazer,M,GBR,BOX,Men's Super Heavy (+91kg),Great Britain,Boxing
Bronze Medal,3,2021-08-04,HUANG HW,HUANG Hsiao-Wen,W,TPE,BOX,Women's Fly (48-51kg),Chinese Taipei,Boxing
Bronze Medal,3,2021-08-04,NAMIKI T,NAMIKI Tsukimi,W,JPN,BOX,Women's Fly (48-51kg),Japan,Boxing
Bronze Medal,3,2021-08-04,BORGOHAIN L,BORGOHAIN Lovlina,W,IND,BOX,Women's Welter (64-69kg),India,Boxing
Bronze Medal,3,2021-08-04,JONES O,JONES Oshae,W,USA,BOX,Women's Welter (64-69kg),United States of America,Boxing
Gold Medal,1,2021-08-04,CONSONNI S,CONSONNI Simone,M,ITA,CTR,Men's Team Pursuit,Italy,Cycling Track
Gold Medal,1,2021-08-04,GANNA F,GANNA Filippo,M,ITA,CTR,Men's Team Pursuit,Italy,Cycling Track
Gold Medal,1,2021-08-04,MILAN J,MILAN Jonathan,M,ITA,CTR,Men's Team Pursuit,Italy,Cycling Track
Gold Medal,1,2021-08-04,LAMON F,LAMON Francesco,M,ITA,CTR,Men's Team Pursuit,Italy,Cycling Track
Silver Medal,2,2021-08-04,LARSEN N,LARSEN Niklas,M,DEN,CTR,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,2021-08-04,MADSEN F,MADSEN Frederik,M,DEN,CTR,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,2021-08-04,HANSEN LN,HANSEN Lasse Norman,M,DEN,CTR,Men's Team Pursuit,Denmark,Cycling Track
Silver Medal,2,2021-08-04,PEDERSEN R,PEDERSEN Rasmus,M,DEN,CTR,Men's Team Pursuit,Denmark,Cycling Track
Bronze Medal,3,2021-08-04,O'BRIEN K,O'BRIEN Kelland,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,2021-08-04,WELSFORD S,WELSFORD Sam,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,2021-08-04,PLAPP L,PLAPP Lucas,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,2021-08-04,HOWARD L,HOWARD Leigh,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Bronze Medal,3,2021-08-04,PORTER A,PORTER Alexander,M,AUS,CTR,Men's Team Pursuit,Australia,Cycling Track
Gold Medal,1,2021-08-04,MAHER B,MAHER Ben,O,GBR,EQU,Jumping Individual,Great Britain,Equestrian
Silver Medal,2,2021-08-04,FREDRICSON P,FREDRICSON Peder,O,SWE,EQU,Jumping Individual,Sweden,Equestrian
Bronze Medal,3,2021-08-04,van der VLEUTEN M,van der VLEUTEN Maikel,O,NED,EQU,Jumping Individual,Netherlands,Equestrian
Gold Medal,1,2021-08-04,CUNHA AM,CUNHA Ana Marcela,W,BRA,OWS,Women's 10km,Brazil,Marathon Swimming
Silver Medal,2,2021-08-04,van ROUWENDAAL S,van ROUWENDAAL Sharon,W,NED,OWS,Women's 10km,Netherlands,Marathon Swimming
Bronze Medal,3,2021-08-04,LEE K,LEE Kareena,W,AUS,OWS,Women's 10km,Australia,Marathon Swimming
Gold Medal,1,2021-08-04,RYAN W,RYAN Will,M,AUS,SAL,Men's Two Person Dinghy - 470,Australia,Sailing
Gold Medal,1,2021-08-04,BELCHER M,BELCHER Mathew,M,AUS,SAL,Men's Two Person Dinghy - 470,Australia,Sailing
Silver Medal,2,2021-08-04,BERGSTROM F,BERGSTROM Fredrik,M,SWE,SAL,Men's Two Person Dinghy - 470,Sweden,Sailing
Silver Medal,2,2021-08-04,DAHLBERG A,DAHLBERG Anton,M,SWE,SAL,Men's Two Person Dinghy - 470,Sweden,Sailing
Bronze Medal,3,2021-08-04,RODRIGUEZ N,RODRIGUEZ GARCIA-PAZ Nicolas,M,ESP,SAL,Men's Two Person Dinghy - 470,Spain,Sailing
Bronze Medal,3,2021-08-04,XAMMAR J,XAMMAR Jordi,M,ESP,SAL,Men's Two Person Dinghy - 470,Spain,Sailing
Gold Medal,1,2021-08-04,McINTYRE E,McINTYRE Eilidh,W,GBR,SAL,Women's Two Person Dinghy - 470,Great Britain,Sailing
Gold Medal,1,2021-08-04,MILLS H,MILLS Hannah,W,GBR,SAL,Women's Two Person Dinghy - 470,Great Britain,Sailing
Silver Medal,2,2021-08-04,SKRZYPULEC A,SKRZYPULEC Agnieszka,W,POL,SAL,Women's Two Person Dinghy - 470,Poland,Sailing
Silver Medal,2,2021-08-04,OGAR J,OGAR Jolanta,W,POL,SAL,Women's Two Person Dinghy - 470,Poland,Sailing
Bronze Medal,3,2021-08-04,LECOINTRE C,LECOINTRE Camille,W,FRA,SAL,Women's Two Person Dinghy - 470,France,Sailing
Bronze Medal,3,2021-08-04,RETORNAZ A,RETORNAZ Aloise,W,FRA,SAL,Women's Two Person Dinghy - 470,France,Sailing
Gold Medal,1,2021-08-04,YOSOZUMI S,YOSOZUMI Sakura,W,JPN,SKB,Women's Park,Japan,Skateboarding
Silver Medal,2,2021-08-04,HIRAKI K,HIRAKI Kokona,W,JPN,SKB,Women's Park,Japan,Skateboarding
Bronze Medal,3,2021-08-04,BROWN S,BROWN Sky,W,GBR,SKB,Women's Park,Great Britain,Skateboarding
Gold Medal,1,2021-08-04,TALAKHADZE L,TALAKHADZE Lasha,M,GEO,WLF,Men's +109kg,Georgia,Weightlifting
Silver Medal,2,2021-08-04,DAVOUDI A,DAVOUDI Ali,M,IRI,WLF,Men's +109kg,Islamic Republic of Iran,Weightlifting
Bronze Medal,3,2021-08-04,ASAAD M,ASAAD Man,M,SYR,WLF,Men's +109kg,Syrian Arab Republic,Weightlifting
Gold Medal,1,2021-08-04,GERAEI M,GERAEI Mohammadreza,M,IRI,WRE,Men's Greco-Roman 67kg,Islamic Republic of Iran,Wrestling
Silver Medal,2,2021-08-04,NASIBOV P,NASIBOV Parviz,M,UKR,WRE,Men's Greco-Roman 67kg,Ukraine,Wrestling
Bronze Medal,3,2021-08-04,ELSAYED MIE,ELSAYED Mohamed Ibrahim Elsayed,M,EGY,WRE,Men's Greco-Roman 67kg,Egypt,Wrestling
Bronze Medal,3,2021-08-04,STAEBLER F,STAEBLER Frank,M,GER,WRE,Men's Greco-Roman 67kg,Germany,Wrestling
Gold Medal,1,2021-08-04,BELENIUK Z,BELENIUK Zhan,M,UKR,WRE,Men's Greco-Roman 87kg,Ukraine,Wrestling
Silver Medal,2,2021-08-04,LORINCZ V,LORINCZ Viktor,M,HUN,WRE,Men's Greco-Roman 87kg,Hungary,Wrestling
Bronze Medal,3,2021-08-04,KUDLA DM,KUDLA Denis Maksymilian,M,GER,WRE,Men's Greco-Roman 87kg,Germany,Wrestling
Bronze Medal,3,2021-08-04,DATUNASHVILI Z,DATUNASHVILI Zurabi,M,SRB,WRE,Men's Greco-Roman 87kg,Serbia,Wrestling
Gold Medal,1,2021-08-04,KAWAI Y,KAWAI Yukako,W,JPN,WRE,Women's Freestyle 62kg,Japan,Wrestling
Silver Medal,2,2021-08-04,TYNYBEKOVA A,TYNYBEKOVA Aisuluu,W,KGZ,WRE,Women's Freestyle 62kg,Kyrgyzstan,Wrestling
Bronze Medal,3,2021-08-04,KOLIADENKO I,KOLIADENKO Iryna,W,UKR,WRE,Women's Freestyle 62kg,Ukraine,Wrestling
Bronze Medal,3,2021-08-04,YUSEIN TM,YUSEIN Taybe Mustafa,W,BUL,WRE,Women's Freestyle 62kg,Bulgaria,Wrestling
Gold Medal,1,2021-08-05,PARCHMENT H,PARCHMENT Hansle,M,JAM,ATH,Men's 110m Hurdles,Jamaica,Athletics
Silver Medal,2,2021-08-05,HOLLOWAY G,HOLLOWAY Grant,M,USA,ATH,Men's 110m Hurdles,United States of America,Athletics
Bronze Medal,3,2021-08-05,LEVY R,LEVY Ronald,M,JAM,ATH,Men's 110m Hurdles,Jamaica,Athletics
Gold Medal,1,2021-08-05,STANO M,STANO Massimo,M,ITA,ATH,Men's 20km Race Walk,Italy,Athletics
Silver Medal,2,2021-08-05,IKEDA K,IKEDA Koki,M,JPN,ATH,Men's 20km Race Walk,Japan,Athletics
Bronze Medal,3,2021-08-05,YAMANISHI T,YAMANISHI Toshikazu,M,JPN,ATH,Men's 20km Race Walk,Japan,Athletics
Gold Medal,1,2021-08-05,GARDINER S,GARDINER Steven,M,BAH,ATH,Men's 400m,Bahamas,Athletics
Silver Medal,2,2021-08-05,ZAMBRANO AJ,ZAMBRANO Anthony Jose,M,COL,ATH,Men's 400m,Colombia,Athletics
Bronze Medal,3,2021-08-05,JAMES K,JAMES Kirani,M,GRN,ATH,Men's 400m,Grenada,Athletics
Gold Medal,1,2021-08-05,CROUSER R,CROUSER Ryan,M,USA,ATH,Men's Shot Put,United States of America,Athletics
Silver Medal,2,2021-08-05,KOVACS J,KOVACS Joe,M,USA,ATH,Men's Shot Put,United States of America,Athletics
Bronze Medal,3,2021-08-05,WALSH T,WALSH Tomas,M,NZL,ATH,Men's Shot Put,New Zealand,Athletics
Gold Medal,1,2021-08-05,PICHARDO P,PICHARDO Pedro,M,POR,ATH,Men's Triple Jump,Portugal,Athletics
Silver Medal,2,2021-08-05,ZHU Y,ZHU Yaming,M,CHN,ATH,Men's Triple Jump,People's Republic of China,Athletics
Bronze Medal,3,2021-08-05,ZANGO HF,ZANGO Hugues Fabrice,M,BUR,ATH,Men's Triple Jump,Burkina Faso,Athletics
Gold Medal,1,2021-08-05,NAGEOTTE K,NAGEOTTE Katie,W,USA,ATH,Women's Pole Vault,United States of America,Athletics
Silver Medal,2,2021-08-05,SIDOROVA A,SIDOROVA Anzhelika,W,ROC,ATH,Women's Pole Vault,ROC,Athletics
Bronze Medal,3,2021-08-05,BRADSHAW H,BRADSHAW Holly,W,GBR,ATH,Women's Pole Vault,Great Britain,Athletics
Gold Medal,1,2021-08-05,BATYRGAZIEV A,BATYRGAZIEV Albert,M,ROC,BOX,Men's Feather (52-57kg),ROC,Boxing
Silver Medal,2,2021-08-05,RAGAN D,RAGAN Duke,M,USA,BOX,Men's Feather (52-57kg),United States of America,Boxing
Bronze Medal,3,2021-08-05,BIBOSSINOV S,BIBOSSINOV Saken,M,KAZ,BOX,Men's Fly (48-52kg),Kazakhstan,Boxing
Bronze Medal,3,2021-08-05,TANAKA R,TANAKA Ryomei,M,JPN,BOX,Men's Fly (48-52kg),Japan,Boxing
Bronze Medal,3,2021-08-05,MARCIAL E,MARCIAL Eumir,M,PHI,BOX,Men's Middle (69-75kg),Philippines,Boxing
Bronze Medal,3,2021-08-05,BAKSHI G,BAKSHI Gleb,M,ROC,BOX,Men's Middle (69-75kg),ROC,Boxing
Bronze Medal,3,2021-08-05,SEESONDEE S,SEESONDEE Sudaporn,W,THA,BOX,Women's Light (57-60kg),Thailand,Boxing
Bronze Medal,3,2021-08-05,POTKONEN MMJ,POTKONEN Mira Marjut Johanna,W,FIN,BOX,Women's Light (57-60kg),Finland,Boxing
Gold Medal,1,2021-08-05,V.d WESTHUYZEN J.,van der WESTHUYZEN Jean,M,AUS,CSP,Men's Kayak Double 1000m,Australia,Canoe Sprint
Gold Medal,1,2021-08-05,GREEN T,GREEN Thomas,M,AUS,CSP,Men's Kayak Double 1000m,Australia,Canoe Sprint
Silver Medal,2,2021-08-05,SCHOPF J,SCHOPF Jacob,M,GER,CSP,Men's Kayak Double 1000m,Germany,Canoe Sprint
Silver Medal,2,2021-08-05,HOFF M,HOFF Max,M,GER,CSP,Men's Kayak Double 1000m,Germany,Canoe Sprint
Bronze Medal,3,2021-08-05,DOSTAL J,DOSTAL Josef,M,CZE,CSP,Men's Kayak Double 1000m,Czech Republic,Canoe Sprint
Bronze Medal,3,2021-08-05,SLOUF R,SLOUF Radek,M,CZE,CSP,Men's Kayak Double 1000m,Czech Republic,Canoe Sprint
Gold Medal,1,2021-08-05,TOTKA S,TOTKA Sandor,M,HUN,CSP,Men's Kayak Single 200m,Hungary,Canoe Sprint
Silver Medal,2,2021-08-05,RIZZA M,RIZZA Manfredi,M,ITA,CSP,Men's Kayak Single 200m,Italy,Canoe Sprint
Bronze Medal,3,2021-08-05,HEATH L,HEATH Liam,M,GBR,CSP,Men's Kayak Single 200m,Great Britain,Canoe Sprint
Gold Medal,1,2021-08-05,HARRISON N,HARRISON Nevin,W,USA,CSP,Women's Canoe Single 200m,United States of America,Canoe Sprint
Silver Medal,2,2021-08-05,VINCENT-LAPOINTE L,VINCENT-LAPOINTE Laurence,W,CAN,CSP,Women's Canoe Single 200m,Canada,Canoe Sprint
Bronze Medal,3,2021-08-05,LUZAN L,LUZAN Liudmyla,W,UKR,CSP,Women's Canoe Single 200m,Ukraine,Canoe Sprint
Gold Medal,1,2021-08-05,CARRINGTON L,CARRINGTON Lisa,W,NZL,CSP,Women's Kayak Single 500m,New Zealand,Canoe Sprint
Silver Medal,2,2021-08-05,CSIPES T,CSIPES Tamara,W,HUN,CSP,Women's Kayak Single 500m,Hungary,Canoe Sprint
Bronze Medal,3,2021-08-05,JORGENSEN EA,JORGENSEN Emma Aastrand,W,DEN,CSP,Women's Kayak Single 500m,Denmark,Canoe Sprint
Gold Medal,1,2021-08-05,WALLS M,WALLS Matthew,M,GBR,CTR,Men's Omnium,Great Britain,Cycling Track
Silver Medal,2,2021-08-05,STEWART C,STEWART Campbell,M,NZL,CTR,Men's Omnium,New Zealand,Cycling Track
Bronze Medal,3,2021-08-05,VIVIANI E,VIVIANI Elia,M,ITA,CTR,Men's Omnium,Italy,Cycling Track
Gold Medal,1,2021-08-05,BRASPENNINCX S,BRASPENNINCX Shanne,W,NED,CTR,Women's Keirin,Netherlands,Cycling Track
Silver Medal,2,2021-08-05,ANDREWS E,ANDREWS Ellesse,W,NZL,CTR,Women's Keirin,New Zealand,Cycling Track
Bronze Medal,3,2021-08-05,GENEST L,GENEST Lauriane,W,CAN,CTR,Women's Keirin,Canada,Cycling Track
Gold Medal,1,2021-08-05,QUAN H,QUAN Hongchan,W,CHN,DIV,Women's 10m Platform,People's Republic of China,Diving
Silver Medal,2,2021-08-05,CHEN Y,CHEN Yuxi,W,CHN,DIV,Women's 10m Platform,People's Republic of China,Diving
Bronze Medal,3,2021-08-05,WU M,WU Melissa,W,AUS,DIV,Women's 10m Platform,Australia,Diving
Gold Medal,1,2021-08-05,BOCCARD G,BOCCARD Gauthier,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,de KERPEL N,de KERPEL Nicolas,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,de SLOOVER A,de SLOOVER Arthur Anne-Marie Thierr,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,HENDRICKX ARP,HENDRICKX Alexander Robby P,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,LUYPAERT LFA,LUYPAERT Loick Fanny A,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,van AUBEL F,van AUBEL Florent,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,VANASCH V,VANASCH Vincent,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,BOON TA,BOON Tom Alain,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,BRIELS T,BRIELS Thomas,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,CHARLIER CDA,CHARLIER Cedric Daniel Andre,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,DENAYER FVB,DENAYER Felix Veronique B.,M,BEL,HOC,Men,Belgium,Hockey
